Tên sản phẩm,Link sản phẩm,Giá,Số đã bán,Doanh thu,Ngành hàng,Thương hiệu,Giá phân loại cao nhất,Giá phân loại nhỏ nhất,Link shop,Mã sản phẩm,Ngành hàng cấp 1,Ngành hàng cấp 2,Ngành hàng cấp 3,Ngày bắt đầu bán,Số lượt xem sản phẩm,Số đánh giá,Thumbnail,Tên shop,Tổng doanh số,Tổng số đánh giá,Tổng số đã bán
Điện thoại Apple iPhone 14 Pro Max 128GB,https://beeco.st/1KAROXJ.5GTdF,26790000,3478,96547240000,Điện Thoại & Máy Tính Bảng,apple,26790000,26790000,https://shopee.vn/shop/88201679,1__21649786963__88201679,,,,2022-09,,,https://cf.shopee.vn/file/93b3f6d4799b06f9279f817540daa4d1,Apple Flagship Store,309465828000,2759,11067
Điện thoại Apple iPhone 14 Pro Max 256GB,https://beeco.st/1HlTCKV.5GTdF,29590000,1605,49251990000,Điện Thoại & Máy Tính Bảng,apple,29590000,29590000,https://shopee.vn/shop/88201679,1__19049792799__88201679,,,,2022-09,,,https://cf.shopee.vn/file/93b3f6d4799b06f9279f817540daa4d1,Apple Flagship Store,183739860000,1467,5946
Điện thoại Xiaomi 13 Ultra - Hàng nhập khẩu,https://beeco.st/1IcsaAh.gIjbk,19670000,986,19638520000,Điện Thoại & Máy Tính Bảng,xiaomi,21670000,19670000,https://shopee.vn/shop/709548398,1__19979190955__709548398,,,,2023-04,,,https://cf.shopee.vn/file/vn-11134207-7qukw-lg21mwohbv1z07,Shop Online 24 Hà Nội,33506060000,708,1679
Điện thoại Apple iPhone 14 Pro 128GB,https://beeco.st/1GvpBY7.5GTdF,24190000,705,17965850000,Điện Thoại & Máy Tính Bảng,apple,24190000,24190000,https://shopee.vn/shop/88201679,1__18149587079__88201679,,,,2022-09,,,https://cf.shopee.vn/file/93b3f6d4799b06f9279f817540daa4d1,Apple Flagship Store,91408540000,856,3572
Điện thoại Xiaomi Mi 13 Ultra chip Snap 8 Gen 2 - Hàng nhập khẩu,https://beeco.st/1IjNJVo.7tjWb,19680000,789,15745320000,Điện Thoại & Máy Tính Bảng,xiaomi,21680000,19680000,https://shopee.vn/shop/132044837,1__20088436722__132044837,,,,2023-05,,,https://cf.shopee.vn/file/vn-11134207-7qukw-lgf1258kwzu220,Di Động Số HN,26080680000,536,1306
Điện thoại Apple iPhone 14 Pro Max 128GB - Chính hãng VN/A,https://beeco.st/1HxZLdR.T1tU9,27470000,468,13020660000,Điện Thoại & Máy Tính Bảng,apple,27570000,27470000,https://shopee.vn/shop/487028617,1__19252730331__487028617,,,,2022-10,,,https://cf.shopee.vn/file/vn-11134207-7qukw-lfnquuv8f2x021,Minh Tuấn Mobile Official,69226657000,696,2451
ĐIỆN THOẠI SAMSUNG GALAXY S23 ULTRA PHIÊN BẢN EXCLUSIVE,https://beeco.st/1K0OMsH.pH-I,20800000,540,11589400000,Điện Thoại & Máy Tính Bảng,samsung,28800000,20800000,https://shopee.vn/shop/13442962,1__21481221521__13442962,,,,2023-06,,,https://cf.shopee.vn/file/vn-11134207-7qukw-ligx0711ob82ee,Bichngocmobile,22476650000,358,1037
Điện thoại Xiaomi Mi 13 Ultra Snapdragon 8 Gen 2 - Hàng nhập khẩu,https://beeco.st/1M8b7R5.Dks2o,19690000,541,11290590000,Điện Thoại & Máy Tính Bảng,xiaomi,21690000,19690000,https://shopee.vn/shop/230383794,1__23766267589__230383794,,,,2023-04,,,https://cf.shopee.vn/file/vn-11134207-7qukw-lg2iwkn2ys8a77,Mi City,24248410000,483,1159
Điện thoại Xiaomi Mi 12S Ultra Camera Khủng.,https://beeco.st/1Lx7jdf.HyoJ7,26600000,420,10925120000,Điện Thoại & Máy Tính Bảng,,26600000,26600000,https://shopee.vn/shop/301147335,1__23540455913__301147335,,,,2023-04,,,https://cf.shopee.vn/file/vn-11134201-7qukw-lfye7jbzpap614,Phụ Kiện HP STORE,27697520000,400,1057
Điện Thoại Samsung Galaxy S22 Ultra - Hàng Chính hãng,https://beeco.st/1HHucUP.o7Eyj,28000000,487,10197120000,Điện Thoại & Máy Tính Bảng,samsung,28000000,28000000,https://shopee.vn/shop/840757037,1__18553661337__840757037,,,,2022-10,,,https://cf.shopee.vn/file/sg-11134201-22100-l5ma4kcuviiv47,CGI mobile,30803840000,543,1515
